,,,,,,,,,,,,,,lat,long
https://www.google.co.th/maps/place/MAI+i+TIM+-+%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1/data=!4m7!3m6!1s0x3102b54a817dd421:0x9112ed6a70d5f930!8m2!3d13.2720372!4d100.9241753!16s%2Fg%2F11nnjkqf__!19sChIJIdR9gUq1AjERMPnVcGrtEpE?authuser=0&hl=th&rclk=1,MAI i TIM - ไม้ไอติม,4.9,(485),ไอศกรีม,?,ถนน บางแสนล่าง,ปิดอยู่,? เปิด 11:00,https://lh5.googleusercontent.com/p/AF1QipMpzLdtnHowqgI0oscBsChFgPw8MFmVCMyJPX6f=w92-h92-k-no,,13.2720372!4d100.9241753,13.2720372!4d100.9241753,"13.2720372,100.9241753",13.2720372,100.9241753
https://www.google.co.th/maps/place/%E0%B9%84%E0%B8%94+%E0%B8%AD%E0%B8%B0+%E0%B8%95%E0%B8%B4%E0%B8%A1+%E3%83%80%E3%82%A4%E3%82%A2%E3%83%86%E3%82%A3%E3%83%A0/data=!4m7!3m6!1s0x3102b52c2890e82b:0x86e3b0fb217f1418!8m2!3d13.2737497!4d100.9233187!16s%2Fg%2F11tczg64jv!19sChIJK-iQKCy1AjERGBR_Ifuw44Y?authuser=0&hl=th&rclk=1,ได อะ ติม ??????,4.7,(38),ไอศกรีม,?,5 หน้าบ้านเลขที่ 94 ถนน บางแสนล่าง 14/3,ปิดอยู่,? เปิด 12:00,https://lh5.googleusercontent.com/p/AF1QipPGASixrR7_uyU_YjZFD6IjKxbj90W3H-6VkWjW=w80-h106-k-no,,13.2737497!4d100.9233187,,"13.2737497,100.9233187",13.2737497,100.9233187
https://www.google.co.th/maps/place/I+SEA+CREAM/data=!4m7!3m6!1s0x3102b5205ba08bbf:0xdd9d60eff0fdf0ed!8m2!3d13.2719538!4d100.9226047!16s%2Fg%2F11pbh76h97!19sChIJv4ugWyC1AjER7fD98O9gnd0?authuser=0&hl=th&rclk=1,I SEA CREAM,4.2,(288),ไอศกรีม,?,108/16-17 ห้อง1 ชั้น 1 ถนน บางแสนล่าง ซอย 12/1,ปิดอยู่,? เปิด 10:00,https://lh5.googleusercontent.com/p/AF1QipOlkjoz4jyAGDtRoAqodxWcrKmF6ckR8oSml93W=w92-h92-k-no,,13.2719538!4d100.9226047,,"13.2719538,100.9226047",13.2719538,100.9226047
https://www.google.co.th/maps/place/%E0%B9%80%E0%B8%AA%E0%B8%A1%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1%28%E0%B8%84%E0%B8%AD%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9E%E0%B8%A3%E0%B8%B0%29/data=!4m7!3m6!1s0x3102b67c853aa6b5:0x4d7d64cda0b2a1dc!8m2!3d13.2061307!4d100.9405191!16s%2Fg%2F11c6cj8f6r!19sChIJtaY6hXy2AjER3KGyoM1kfU0?authuser=0&hl=th&rclk=1,เสมียนไอศครีม(คอเขาบางพระ),4.5,(15),ไอศกรีม,?,5/2 ม.9 เทศบาล 1,เปิด 24 ชั่วโมง,,https://lh5.googleusercontent.com/p/AF1QipOJ3hDv-U_IJsvzVAIjBBNDpGAcPmzbxZVlxpH5=w80-h106-k-no,,13.2061307!4d100.9405191,,"13.2061307,100.9405191",13.2061307,100.9405191
https://www.google.co.th/maps/place/%E0%B9%84%E0%B8%AD%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%97%E0%B8%A2/data=!4m7!3m6!1s0x3102b4c28c719f35:0xb0cdcb749fb32d3e!8m2!3d13.2857346!4d100.9219945!16s%2Fg%2F11bwh5bxh3!19sChIJNZ9xjMK0AjERPi2zn3TLzbA?authuser=0&hl=th&rclk=1,ไอกรีมฟ้าไทย,3.7,(19),ไอศกรีม,?,7WPC+7QX ถนน ลงหาดบางแสน,,,https://lh5.googleusercontent.com/p/AF1QipPXzsa345ZJPssK1tBRFObmy9StUmIFANFmLITn=w80-h106-k-no,,13.2857346!4d100.9219945,,"13.2857346,100.9219945",13.2857346,100.9219945
https://www.google.co.th/maps/place/Duca%E2%80%99tim+Bangsaen/data=!4m7!3m6!1s0x3102b5686f560769:0x85bb926e7438a58!8m2!3d13.272784!4d100.9240392!16s%2Fg%2F11l1nz6b3z!19sChIJaQdWb2i1AjERWIpD5ya5Wwg?authuser=0&hl=th&rclk=1,Duca’tim Bangsaen,5.0,(4),ไอศกรีม,?,85 ถนน บางแสนล่าง,ปิดอยู่,? เปิด 17:00,https://lh5.googleusercontent.com/p/AF1QipOQRNBPq_tMHbS1DkYR6ZhGqYlW6Qn4UjemOjFe=w80-h142-k-no,,13.272784!4d100.9240392,,"13.272784,100.9240392",13.272784,100.9240392
https://www.google.co.th/maps/place/%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1+%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B8%81%E0%B8%B0%E0%B8%97%E0%B8%B4%E0%B8%AA%E0%B8%94+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A7%E0%B8%AD%E0%B8%99%E0%B8%99%E0%B8%B2%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84/data=!4m7!3m6!1s0x3102b5f277d9654b:0x1b1bd98252cae7b4!8m2!3d13.2741856!4d100.9216081!16s%2Fg%2F11vy5s_4n0!19sChIJS2XZd_K1AjERtOfKUoLZGxs?authuser=0&hl=th&rclk=1,บางแสนไอศครีม ไอติมกะทิสด สาขาวอนนาพาร์ค,5.0,(1),ไอศกรีม,?,แสนสุข 92 ถนน บางแสนล่าง,ปิดอยู่,? เปิด 17:00,https://lh5.googleusercontent.com/p/AF1QipPcYcaOWiNkCViNw1P9MbpdtZoWijA2mIQecLCU=w80-h106-k-no,,13.2741856!4d100.9216081,,"13.2741856,100.9216081",13.2741856,100.9216081
https://www.google.co.th/maps/place/%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B8%97%E0%B8%AD%E0%B8%94%E0%B8%81%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B4%E0%B9%88%E0%B8%87%28%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%94%E0%B8%A7%E0%B8%AD%E0%B8%99%E0%B8%A0%E0%B8%B2%29/data=!4m7!3m6!1s0x3102b57cda6a3895:0x8ac9ed26737a5b94!8m2!3d13.2745422!4d100.9209912!16s%2Fg%2F11sby4cbrq!19sChIJlThq2ny1AjERlFt6cybtyYo?authuser=0&hl=th&rclk=1,ไอติมทอดกดกริ่ง(สาขาหาดวอนภา),4.6,(10),ไอศกรีม,?,86 12 ถนน บางแสนล่าง,ปิดอยู่,? เปิด 16:00,https://lh5.googleusercontent.com/p/AF1QipOczGEnwWQYZQMotNDc1wKjCB3Uwxa5jtwFKmQO=w80-h106-k-no,,13.2745422!4d100.9209912,,"13.2745422,100.9209912",13.2745422,100.9209912
https://www.google.co.th/maps/place/BB-ice%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B8%97%E0%B8%AD%E0%B8%94+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x3102b5b4b898e911:0x2c5a585b8da38588!8m2!3d13.2771146!4d100.9298227!16s%2Fg%2F11nlgf2hp4!19sChIJEemYuLS1AjERiIWjjVtYWiw?authuser=0&hl=th&rclk=1,BB-iceไอติมทอด บางแสน,5.0,(3),ไอศกรีม,?,16/59 ถนน ลงหาดบางแสน,ปิดอยู่,? เปิด 17:00,https://lh5.googleusercontent.com/p/AF1QipOsIHrucKRtLuqWspkozeDGvXLChqBm-f-UitXn=w80-h142-k-no,,13.2771146!4d100.9298227,,"13.2771146,100.9298227",13.2771146,100.9298227
https://www.google.co.th/maps/place/%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x3102b5d8131a3797:0xb767de1906cef30f!8m2!3d13.2828847!4d100.9293581!16s%2Fg%2F11jsgjv6xr!19sChIJlzcaE9i1AjERD_POBhneZ7c?authuser=0&hl=th&rclk=1,ไอศครีมโคตรอร่อย สาขาบางแสน,5.0,(1),ไอศกรีม,?,27 65 ถนนบางแสนสาย 4 ใต้,ปิดอยู่,? เปิด 12:00,https://lh5.googleusercontent.com/p/AF1QipPMiJ4wv71MU8ZyQ1RFrCunY7Bd2VqLOFvgIpSe=w122-h92-k-no,,13.2828847!4d100.9293581,,"13.2828847,100.9293581",13.2828847,100.9293581
